서울도서관 분야별 장서 현황(기준 : 2022.12.31),,,,,,,,,,,,,
구분,,총류,철학,종교,"사회
과학","자연
과학","기술
과학",예술,언어,문학,역사,기타,합계
,,,,,,,,,,,,,
일반도서,," 20,083 "," 25,022 "," 11,443 "," 114,653 "," 13,392 "," 50,099 "," 23,974 "," 11,914 "," 110,631 "," 32,540 ", - ," 413,751 "
서울시 및 정부간행물,," 3,291 ", 80 , 91 ," 59,898 "," 1,293 "," 29,218 "," 6,216 ", 192 , 757 ," 6,153 ", 15 ," 107,204 "
비도서,," 2,530 ", 481 , 194 ," 1,960 ", 565 , 591 ," 11,205 ", 293 ," 3,285 "," 1,596 ", - ," 22,700 "
합계,," 25,904 "," 25,583 "," 11,728 "," 176,511 "," 15,250 "," 79,908 "," 41,395 "," 12,399 "," 114,673 "," 40,289 ", 15 ," 543,655 "
